plant,latex
1,9.17
2,3.96
3,14.71
3,4.51
3,3.94
4,19.07
4,3.86
5,5.82
6,10.89
7,5.71
8,10.83
9,8.09
10,16.73
10,1.77
11,11.69
11,1.46
12,18.86
13,10.11
14,10.12
15,11.17
16,10.44
17,12.23
17,1.42
18,9.27
19,1
20,1.59
21,0.4
22,0.62
23,0.51
24,0.59
25,0.43
26,0.98
27,0.51
28,0.95
29,0.23
30,2.94
31,0.35
32,0.74
33,1.48
34,0.44
35,0.11
36,0.6
37,2.79
38,3.08
39,3.59
40,5.88
41,5.21
42,4.4
43,4.53
44,1.27
45,1.73
46,2.87
47,6.79
48,2.68
49,3.72
50,3.1
51,1.93
52,4.95
53,1.89
54,3.73
55,0.37
56,0.14
57,0.47
58,0.75
59,0.88
60,0.41
61,0.05
62,0.62
63,0.33
64,0.17
65,1.31
66,0.18
67,0.88
68,0.29
69,1.16
70,0.3
71,0.07
72,0.24
73,0.55
74,0.72
75,0.64
76,0.32
77,0.47
78,0.85
79,0.59
80,0.38
81,0.66
82,0.83
83,0.6
84,0.99
85,0.87
86,0.55
87,0.6
88,0.79
89,0.43
90,0.72
91,0.34
92,0.37
93,0.16
94,0.3
95,0.15
96,0.13
97,0.33
98,0.3
99,0.14
100,0.06
101,0.04
102,0.21
103,0.2
104,0.06
105,0.15
106,0.21
107,0.09
108,0.16
Control,-0.04
Control,-0.03
Control,-0.03
Control,-0.04
Control,-0.04
Control,-0.07
